"Label (Grouping)","Texas"
"Total:","29,145,505"
"    Population of one race:","24,011,767"
"        White alone","14,609,365"
"        Black or African American alone","3,552,997"
"        American Indian and Alaska Native alone","278,948"
"        Asian alone","1,585,480"
"        Native Hawaiian and Other Pacific Islander alone","33,611"
"        Some Other Race alone","3,951,366"
"    Population of two or more races:","5,133,738"
"        Population of two races:","4,966,139"
"            White; Black or African American","213,221"
"            White; American Indian and Alaska Native","321,387"
"            White; Asian","171,466"
"            White; Native Hawaiian and Other Pacific Islander","11,344"
"            White; Some Other Race","4,040,218"
"            Black or African American; American Indian and Alaska Native","27,070"
"            Black or African American; Asian","18,267"
"            Black or African American; Native Hawaiian and Other Pacific Islander","3,622"
"            Black or African American; Some Other Race","71,643"
"            American Indian and Alaska Native; Asian","3,305"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","609"
"            American Indian and Alaska Native; Some Other Race","55,559"
"            Asian; Native Hawaiian and Other Pacific Islander","10,559"
"            Asian; Some Other Race","14,549"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","3,320"
"        Population of three races:","151,394"
"            White; Black or African American; American Indian and Alaska Native","24,321"
"            White; Black or African American; Asian","8,301"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","1,030"
"            White; Black or African American; Some Other Race","25,806"
"            White; American Indian and Alaska Native; Asian","6,421"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","883"
"            White; American Indian and Alaska Native; Some Other Race","58,045"
"            White; Asian; Native Hawaiian and Other Pacific Islander","5,929"
"            White; Asian; Some Other Race","13,645"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","1,276"
"            Black or African American; American Indian and Alaska Native; Asian","753"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","158"
"            Black or African American; American Indian and Alaska Native; Some Other Race","2,157"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","775"
"            Black or African American; Asian; Some Other Race","821"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","201"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","105"
"            American Indian and Alaska Native; Asian; Some Other Race","316"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","106"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","345"
"        Population of four races:","14,376"
"            White; Black or African American; American Indian and Alaska Native; Asian","2,221"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","292"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","7,383"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","511"
"            White; Black or African American; Asian; Some Other Race","1,033"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","110"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","604"
"            White; American Indian and Alaska Native; Asian; Some Other Race","1,316"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","115"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","490"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","101"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","88"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","73"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","34"
"        Population of five races:","1,661"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","517"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","841"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","111"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","69"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","89"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","34"
"        Population of six races:","168"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","168"
